content,title
"<div class=""container narrow"">

<p class=""intro"">Sony's late-2016 flagship is the phone it needed six months ago, with some of the most important upgrades in years for an Xperia phone. But is it enough?</p>

<p>The more things change, the more they stay the same. With the apparently sunsetting of the Xperia Z line and the move to Xperia X, Sony appeared to have lost interest in the traditional spec-chasing high-end smartphone game. Yet here we are less than half a year later with a new Sony flagship: The Xperia XZ.</p>

<p>The naming convention speaks to the nature of the phone: A continuation of the X series spearheaded earlier this year with the Xperia X and X Performance, but with hints of the old Xperia Z brand: A bigger screen, a more capacious battery, and some seriously important camera upgrades — including, for the first time in a Sony phone, hardware stabilization.</p>

<p>This is the phone Sony needed half a year ago — and arguably a device which is more of a complete through than the overpriced, underwhelming X Performance. But the competition in the high-end space hasn't died down since the spring, and the XZ will face a similar band of challengers as its immediate predecessor.</p>

<p>So how does the most interesting Sony phone in two years measure up? Read on to find out.</p>

<!--break-->

<h2 class=""bottomline"">The quick take</h2>

<p>The Sony Xperia XZ is a return to form for the manufacturer, with a much-improved camera, a more interesting chassis design and solid performance in other areas. But some nagging issues remain, such as the general dullness of Sony's hardware, and the inexplicable lack of fingerprint security in the U.S. models. And although the camera is a <em>lot</em> better than any other Sony phone, it's not as dependable as Samsung's latest.</p>

<div class=""col2"">
<div class=""good"">

<h4>The Good</h4>

<ul><li>Impressive display, even at 1080p</li>
<li>Solid performance</li>
<li>Camera a decent all-round performer</li>
<li>Water resistance</li>
<li>Clean, well-designed software</li>
</ul></div>
<div class=""bad"">

<h4>The Bad</h4>

<ul><li>Boring design</li>
<li>Smudgy back panel</li>
<li>No fingerprint security in U.S.</li>
<li>Large, thick form factor with big bezels</li>
<li>Camera scene detection + color wonk</li>
</ul></div>
</div>

<!--break-->

<h2>About this review</h2>

<p>We're publishing this review after four days with a pre-production U.S.-spec Sony Xperia XZ (model F8331) in Berlin, Germany on the Telekom.de network. Our review unit was using software version 39.0.A.1.205, based on Android 6.0.1 Marshmallow with the 1 July 2016 Android security patch.</p>

<h2>Sony Xperia XZ <em>Video Review</em></h2>

</div>",Sony Xperia XZ review: Return of the flagship
content,title
"<div class=""pressrelease"">

<h2>SONY ANNOUNCES PRICING AND AVAILABILITY FOR XPERIA™ XZ AND XPERIA X COMPACT IN THE UNITED STATES</h2>

<p>Sony Mobile Communications (""Sony Mobile"") is pleased to announce that Xperia X Compact and Xperia XZ will be available unlocked in the United States starting September 25, 2016 for the Xperia X Compact and October 2, 2016 for Xperia XZ.</p>

<p>Both smartphones can be purchased on Amazon, Best Buy and other participating retailers for a suggested retail price of $499.99 and $699.99, respectively, and will support GSM networks.</p>

<p>The all new Xperia XZ represents the ultimate in Sony Xperia's state-of-the-art camera, video and audio capabilities. It starts with the introduction of Sony's allnew triple image sensing technology to the highly advanced 23MP camera, combining Predictive Hybrid Autofocus with two new sensors—Laser Autofocus and RGBC Infrared sensors—to clearly capture any moment in life with ease and accuracy in any light conditions with true-to-life colors. Video capabilities in Xperia XZ now include 4K recording and enhancements to our best-in-class SteadyShot® technology that deliver the most stable videos with the world's first 5-axis video stabilization in a smartphone.</p>

<p>Beyond the camera and video advancements, Xperia XZ features an updated stereo dual microphone system with integrated noise cancellation to ensure that the immersive 3D stereo sound quality and reduced background noise match the outstanding 4K video quality. All of these features, along with a 5.2-inch Corning® Gorilla® Glass 4 Full HD display and a stunning loop surface design inspired by a monolithic form made with ALKALEIDO™ metal, gives you a stylish, durable and powerful smartphone loaded with the latest in audio-visual innovation from Sony.</p>

<p>For those who prefer a compact smartphone, Xperia X Compact brings the same state-of-the-art camera, video and audio capabilities in a compact design that fits great in your pocket, purse or bag, as well as in your hand. Boasting a durable 4.6-inch Corning® Gorilla® Glass 4 HD 720p TRILUMINOS™ display, Xperia X Compact also boasts the world's first 5-axis video stabilization with fully enhanced SteadyShot image stabilization technology, allowing users to record smoother videos on the move or close up.</p>

</div>",Sony's new Xperia XZ hitting the U.S. for $699 on Oct 2
"<div class=""video""><div class=""video_iframe""><iframe src=""//www.youtube.com/embed/PBdkvZPJqLM?modestbranding=0&amp;html5=1&amp;rel=0&amp;autoplay=0&amp;wmode=opaque&amp;loop=0&amp;controls=1&amp;autohide=0&amp;showinfo=0&amp;theme=dark&amp;color=red&amp;enablejsapi=1"" width=""682"" height=""400"" class=""video-filter video-youtube vf-pbdkvzpjqlm"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>",Top 10 things to know about the Sony Xperia XZ Premium
"<div class=""devicebox"">

<h3><a href=""/nougat"">Android Nougat</a></h3>

<div class=""video""><div class=""video_iframe""><iframe src=""//www.youtube.com/embed/zkr8wEEdWh0?modestbranding=0&amp;html5=1&amp;rel=0&amp;autoplay=0&amp;wmode=opaque&amp;loop=0&amp;controls=1&amp;autohide=0&amp;showinfo=0&amp;theme=dark&amp;color=red&amp;enablejsapi=1"" width=""682"" height=""400"" class=""video-filter video-youtube vf-zkr8weedwh0"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>

<!--/video-->

<ul><li><a href=""http://www.androidcentral.com/android-70-nougat-everything-you-need-know"">Android 7.0 Nougat: Everything you need to know</a></li>
<li><a href=""http://www.androidcentral.com/will-my-phone-get-updated-android-nougat"">Will my phone get Android Nougat?</a></li>
<li><a href=""http://androidcentral.com/google-pixel-review"">Google Pixel + Pixel XL review</a></li>
<li><a href=""http://www.androidcentral.com/android-n"">All Android Nougat news</a></li>
<li><a href=""http://www.androidcentral.com/how-manually-upgrade-your-nexus"">How to manually update your Nexus or Pixel</a></li>
<li><a href=""http://forums.androidcentral.com/android-7-0-nougat/"">Join the Discussion</a></li>
</ul></div>",Android 7.0 Nougat is now making its way to the Xperia XZ
"<div class=""ac-news"">

<h2>Samsung delays new Galaxy Note 7 sales in Korea by three days</h2>

<p><a href=""http://www.reuters.com/article/us-samsung-elec-smartphones-idUSKCN11V078?feedType=RSS&amp;feedName=technologyNews&amp;utm_source=Twitter&amp;utm_medium=Social&amp;utm_campaign=Feed%3A+reuters%2FtechnologyNews+%28Reuters+Technology+News%29"">According to <em>Reuters</em></a>, Samsung says the delay will enable it to speed up the return of remaining <a href=""/samsung-galaxy-note-7-recall"">potentially faulty</a> Note 7s.</p>

<h2>Sony Xperia X Compact on sale via Amazon in the U.S.</h2>

<p>Sony's latest tiny phone packs its latest 23-megapixel camera, but it'll set you back a fairly hefty $499. <a href=""/sony-xperia-x-compact"">Check out our review</a> to see how it shapes up. <a href=""/sony-xperia-x-compact-now-sale"" title="""" class=""cta"">More</a></p>

<h2>MediaTek Helio X30 has more cores than your laptop</h2>

<p>MediaTek has officially unveiled the Helio X30 in China. The SoC is one of first to be built on TSMC's 10nm FinFET+ manufacturing process. It offers ten CPU cores — two 2.8GHz Cortex A73 cores, four 2.4GHz Cortex A53 cores, and four 2.0GHz Cortex A35 cores — and can handle 8GB of LPDDR4X RAM at 1866MHz. MediaTek is moving back to Imagination Technologies with the PowerVR Series7XT GPU. Expect to see the Helio X30 SoC in consumer devices next year.</p>

<h2>Xiaomi teases Mi 5S camera samples</h2>

<p>Xiaomi is all set to unveil the Mi 5S on September 27, and ahead of the official unveil CEO Lei Jun has shared <a href=""http://weibo.com/leijun?is_hot=1"">a camera sample</a>. The phone will feature a dual camera setup at the back, and is rumored to feature a Snapdragon 821 SoC. We'll know more tomorrow.</p>

<h2>Moto Z series launching in India on October 4</h2>

<p>Lenovo has sent out invites for the launch of the Moto Z series in India. We'll see the Moto Z make its debut in the country, and the affordable <a href=""/moto-z-play"">Moto Z Play</a> is also expected to launch. We'll bring you all the details from the launch event.</p>

<h2>Moto Mods development kit comes to China, Europe, and South America</h2>

<p>After rolling out the Moto Mods dev kit in the U.S., Lenovo is now making the <a href=""http://motorola-blog.blogspot.in/2016/09/moto-mods-development-kit-how-you-can.html"">Moto Mods Development Kit</a> available in China, Europe, and South America. The kit allows devs to create new modules for the Moto Z, Moto Z Force, and the Moto Z Play. The dev kit will be making its way to Canada on October 5.</p>

<h2>Xperia XZ, X Performance may get Nougat update next month</h2>

<p>A leaked slide from Sony Slovakia (obtained by <a href=""http://www.xperiablog.net/2016/09/23/sony-xperia-android-nougat-roadmap-leaks/""><em>Xperia Blog</em></a>) shows the Xperia XZ and X Performance receiving the <a href=""/nougat"">Nougat</a> update in October. Xperia X and X Compact are expected to get the update in November, followed by the Xperia Z5, Z3+ and Z4 Tablet in December.</p>

<h2>'Issues' reported with some replacement Note 7s in Korea</h2>

<p>In a rather vague report, the <a href=""http://www.wsj.com/articles/complaints-arise-over-replacement-batteries-for-samsung-galaxy-note-7-1474631157""><em>WSJ</em></a> quotes a broadcast by Korean TV network YTN, which says owners of some ""new"" (post-recall) Note 7s in the country are experiencing ""overheating or losing battery power even as they are being charged."" It's not clear what's meant by ""overheating"" — as we all know, phones can get pretty hot while being used and charged simultaneously.</p>

<blockquote>
  <p>A Samsung spokesman said on Friday that the issue is ""completely unrelated to batteries,"" calling the incidents ""isolated cases"" related to mass production issues.</p>
</blockquote>

</div>","Morning brief: MediaTek debuts 10-core Helio X30, and Xperia XZ may get Nougat in Oct."
"<div class=""tablebox"">

<table class=""spec-table""><thead><tr><th>Category</th>
  <th>Sony Xperia XZ</th>
  <th>Sony Xperia X Compact</th>
</tr></thead><tbody><tr><td>Colors</td>
  <td>Forest Blue, Mineral Black, Platinum</td>
  <td>Mist Blue, Universe Black, White</td>
</tr><tr><td>Size</td>
  <td>146 x 72 x 8.1 mm</td>
  <td>129 x 65 x 9.5 mm</td>
</tr><tr><td>Processor</td>
  <td>Qualcomm® Snapdragon™ 820 64-bit</td>
  <td>Qualcomm® Snapdragon™ 650 64-bit</td>
</tr><tr><td>GPU</td>
  <td>Adreno 530</td>
  <td>Adreno 510</td>
</tr><tr><td>Weight</td>
  <td>161g</td>
  <td>135g</td>
</tr><tr><td>Operating System</td>
  <td>Android 6.0.1 Marshmallow</td>
  <td>Android 6.0.1 Marshmallow</td>
</tr><tr><td>Rear camera</td>
  <td>23MP<br>Triple image sensing technology<br>Predictive Hybrid Autofocus<br>Fast Capture<br>Low-light photo: ISO12800<br>1/ 2.3""  Exmor RS™ for mobile image sensor<br>24mm wide Sony's award-winning G Lens<br>5x Clear Image Zoom<br>BIONZ™ for mobile image-processing engine<br>SteadyShot™ with Intelligent Active Mode (5-axis stablization)<br>4K video recording<br>HDR photo</td>
  <td>23MP<br>Triple image sensing technology<br>Predictive Hybrid Autofocus<br>Fast Capture<br>Low-light photo: ISO12800<br>1/ 2.3""  Exmor RS™ for mobile image sensor<br>24mm wide Sony's award-winning G Lens<br>5x Clear Image Zoom<br>BIONZ™ for mobile image-processing engine<br>SteadyShot™ with Intelligent Active Mode (5-axis stablization)<br>Full HD<br>video 1080 (30fps)<br>HDR photo</td>
</tr><tr><td>Front camera</td>
  <td>13MP 1/3.06"" Exmor RS ™for mobile image sensor<br>22mm wide angle lens<br>ISO6400<br>F2.0</td>
  <td>5MP<br>Low-light photo<br>22mm Wide-angle lens <br>F2.0<br>1/ 3.06""  Exmor RS ™for mobile image sensor</td>
</tr><tr><td>Sound</td>
  <td>High-Resolution Audio (LPCM, FLAC, ALAC, DSD)<br>DSEE HX<br>LDAC<br>Digital Noise Cancelling<br>Clear Audio+<br>S-Force Front Surround <br>Stereo Recording</td>
  <td>High-Resolution Audio (LPCM, FLAC, ALAC, DSD)<br>DSEE-HX<br>LDAC<br>Digital Noise Cancelling<br>Clear Audio+<br>S-Force Front Surround <br>Stereo Recording</td>
</tr><tr><td>Display</td>
  <td>5.2"" Full 1080p HD<br>TRILUMINOS™ Display for mobile<br>X-Reality™ for mobile picture engine<br>Dynamic Contrast Enhancement</td>
  <td>4.6"" 720p HD<br>TRILUMINOS™ Display for mobile<br>X-Reality™ for mobile picture engine<br>Dynamic Contrast Enhancement</td>
</tr><tr><td>RAM</td>
  <td>3GB</td>
  <td>3GB</td>
</tr><tr><td>Storage</td>
  <td>32GB</td>
  <td>32GB</td>
</tr><tr><td>SD card</td>
  <td>up to 256GB</td>
  <td>up to 256GB</td>
</tr><tr><td>Networks</td>
  <td>GSM GPRS/EDGE (2G), UMTS HSPA+ (3G), LTE (4G) Cat9</td>
  <td>GSM GPRS/EDGE (2G), UMTS HSPA+ (3G), LTE (4G) Cat6</td>
</tr><tr><td>Battery</td>
  <td>2900mAh</td>
  <td>2700mAh</td>
</tr><tr><td>Qualcomm Quick Charge</td>
  <td>3.0</td>
  <td>3.0</td>
</tr><tr><td>Release Date</td>
  <td>October 23 2016</td>
  <td>September 25 2016</td>
</tr></tbody></table></div>",Sony Xperia XZ + X Compact specs
"<div class=""media-gallery-wrap""><div class=""media-gallery"">
<a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-01.jpg?itok=7kkiJYmV""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-01.jpg?itok=7kkiJYmV"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-01.jpg?itok=7kkiJYmV"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-02.jpg?itok=DFDMuiTH""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-02.jpg?itok=DFDMuiTH"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-02.jpg?itok=DFDMuiTH"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-03.jpg?itok=8LF1n12C""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-03.jpg?itok=8LF1n12C"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-03.jpg?itok=8LF1n12C"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-04.jpg?itok=in6q3J27""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-04.jpg?itok=in6q3J27"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-04.jpg?itok=in6q3J27"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-05.jpg?itok=Uotv31Rg""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-05.jpg?itok=Uotv31Rg"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-05.jpg?itok=Uotv31Rg"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-06.jpg?itok=7MTj6WPX""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-06.jpg?itok=7MTj6WPX"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-06.jpg?itok=7MTj6WPX"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger/public/article_images/2016/09/xz-second-opinion-camera-sample-07.jpg?itok=3eIJ1OTr""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-07.jpg?itok=3eIJ1OTr"" data-big=""/sites/androidcentral.com/files/styles/xlarge/public/article_images/2016/09/xz-second-opinion-camera-sample-07.jpg?itok=3eIJ1OTr"" width=""800"" height=""600""></a><a href=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/larger_wm_brw/public/article_images/2016/09/xz-second-opinion-camera-sample-08.jpg?itok=NlHg9E57""><img alt=""Sony Xperia XZ camera sample"" src=""https://www.androidcentral.com/sites/androidcentral.com/files/styles/thumbnail/public/article_images/2016/09/xz-second-opinion-camera-sample-08.jpg?itok=NlHg9E57"" data-big=""/sites/androidcentral.com/files/styles/xlarge_wm_brw/public/article_images/2016/09/xz-second-opinion-camera-sample-08.jpg?itok=NlHg9E57"" width=""800"" height=""600""></a></div> <!--/media-gallery--></div>",The Xperia XZ gives me hope that Sony can turn things around in the U.S.
"<div class=""container wide""></div>",Sony Xperia XZ review: Return of the flagship
